"filename", "language", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\create_account.tsx", "TypeScript JSX", 223, 0, 9, 67, 299
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\loading_screen.tsx", "TypeScript JSX", 30, 0, 1, 12, 43
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\login_hub.tsx", "TypeScript JSX", 64, 0, 1, 24, 89
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\login\login_screen.tsx", "TypeScript JSX", 155, 0, 1, 48, 204
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\choose_project.tsx", "TypeScript JSX", 284, 0, 6, 102, 392
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\components\edit_text_overlay.tsx", "TypeScript JSX", 134, 0, 1, 29, 164
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\components\options_overlay.tsx", "TypeScript JSX", 97, 0, 12, 36, 145
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_row_template.tsx", "TypeScript JSX", 164, 0, 4, 51, 219
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_table_template.tsx", "TypeScript JSX", 253, 0, 13, 86, 352
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_view.tsx", "TypeScript JSX", 242, 0, 12, 86, 340
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\ad_banner.tsx", "TypeScript JSX", 30, 0, 1, 13, 44
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\app_button.tsx", "TypeScript JSX", 73, 0, 1, 29, 103
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\app_overlay.tsx", "TypeScript JSX", 26, 0, 2, 13, 41
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\content_card.tsx", "TypeScript JSX", 31, 0, 1, 13, 45
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\dropdown.tsx", "TypeScript JSX", 122, 0, 4, 47, 173
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\flash_messages.tsx", "TypeScript JSX", 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\homescreen_template.tsx", "TypeScript JSX", 63, 0, 1, 18, 82
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\languages_list.tsx", "TypeScript JSX", 40, 0, 1, 7, 48
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\main_header.tsx", "TypeScript JSX", 60, 0, 1, 24, 85
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\project_dropdown.tsx", "TypeScript JSX", 133, 0, 9, 61, 203
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\slider.tsx", "TypeScript JSX", 61, 0, 1, 32, 94
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\switch.tsx", "TypeScript JSX", 52, 0, 1, 32, 85
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\text_input.tsx", "TypeScript JSX", 152, 0, 1, 47, 200
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\upgrade_banner.tsx", "TypeScript JSX", 39, 0, 3, 11, 53
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\view_full_text.tsx", "TypeScript JSX", 134, 0, 1, 31, 166
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared_styles\app_colours.tsx", "TypeScript JSX", 11, 0, 1, 4, 16
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared_styles\core_styles.tsx", "TypeScript JSX", 207, 0, 1, 45, 253
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared_styles\shadow_settings.tsx", "TypeScript JSX", 19, 0, 1, 5, 25
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\storage\app_settings_storage.tsx", "TypeScript JSX", 335, 0, 17, 212, 564
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\storage\user_profile_details.tsx", "TypeScript JSX", 171, 0, 19, 117, 307
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\types\types.d.tsx", "TypeScript JSX", 162, 0, 1, 47, 210
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\assets\icons\AppIcons\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 1
"Total", "-", 7861, 1, 359, 3084, 11305
