"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game _logic\game_logic.tsx", "TypeScript JSX", 163, 28, 111, 302
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game_start_screen.tsx", "TypeScript JSX", 0, 0, 2, 2
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\loading_screen .tsx", "TypeScript JSX", 34, 1, 11, 46
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\vocabgame.tsx", "TypeScript JSX", 159, 12, 62, 233
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\drawer.tsx", "TypeScript JSX", 8, 0, 0, 8
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\table\row_template_home.tsx", "TypeScript JSX", 0, 0, 2, 2
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\types\types.d.tsx", "TypeScript JSX", 7, 0, 0, 7
"Total", "-", 371, 41, 188, 600
