"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\app.tsx", "TypeScript JSX", 24, 2, 12, 38
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\last_activity.tsx", "TypeScript JSX", 10, 0, 1, 11
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\database\local_database.tsx", "TypeScript JSX", 74, 0, 37, 111
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game_start_screen.tsx", "TypeScript JSX", 93, 9, 53, 155
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\vocabgame.tsx", "TypeScript JSX", 1, 1, 2, 4
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\components\activity_content.tsx", "TypeScript JSX", 0, 0, -1, -1
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\homescreen.tsx", "TypeScript JSX", 14, 0, 9, 23
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\search_results.tsx", "TypeScript JSX", 2, -1, -3, -2
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\table\row_template_home.tsx", "TypeScript JSX", 10, -1, 5, 14
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\table\table_template_home.tsx", "TypeScript JSX", 10, 1, 11, 22
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\vocab_search.tsx", "TypeScript JSX", 26, 0, 11, 37
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\components\options_overlay.tsx", "TypeScript JSX", 9, 0, 4, 13
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_row_template.tsx", "TypeScript JSX", 1, 0, -1, 0
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_table_template.tsx", "TypeScript JSX", 11, 1, 11, 23
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\manage_projects\project_view.tsx", "TypeScript JSX", 12, 1, 7, 20
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\dropdown.tsx", "TypeScript JSX", 9, 0, 5, 14
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\project_dropdown.tsx", "TypeScript JSX", 7, 1, 4, 12
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\slider.tsx", "TypeScript JSX", 14, 0, 11, 25
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\shared\switch.tsx", "TypeScript JSX", 13, 0, 17, 30
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\types\types.d.tsx", "TypeScript JSX", 12, 0, 2, 14
"Total", "-", 352, 14, 197, 563
